population,generations,n_gates,generation,genome,fitness,energy,is_best
,,,-1,11011001100100011010000111010111110100101101,1.135789,-1.1361891528771615,False
,,,-1,11011000100100001010000111010101110100111101,1.135789,-1.1361891339530754,False
,,,-1,10011010100011100000111011001001110010111111,1.117349,-1.1173489211359304,False
,,,-1,10111010000101001000001111101010011011101001,1.117349,-1.1173489211359304,False
,,,-1,00010110000111101000011110101000010001101001,1.117149,-1.1173489211359304,False
,,,-1,00010110100101101000011111101010000101100100,1.117149,-1.1173489211359304,False
,,,-1,10011110100100001000011111101010000010101001,1.117149,-1.1173489211359304,False
,,,-1,00000101100101101001001011000010011101000101,1.117149,-1.1173489173804445,False
,,,-1,10111010100011100000011011011001000000011011,1.117149,-1.1173489169418935,False
,,,-1,01011101100100111110001001010011110001011011,1.117049,-1.1173489211359315,False
,,,-1,00001110000001101000011111101110010011101001,1.117049,-1.1173489211359304,False
,,,-1,00011101110101101001011111000010000101100100,1.117049,-1.1173489184086027,False
,,,-1,11011011100100010010000110010111000011011011,1.116949,-1.1173489121809863,False
,,,-1,00011010100011100000100011101101000000111101,1.116849,-1.1173489103232945,False
,,,-1,00001010100010110000111011001010000010010010,1.116649,-1.1173489172616202,False
,,,-1,00000111000011110000111011001000000011011011,1.116449,-1.1173488777732772,False
,,,-1,01001000111101101001101111000110010011111101,0.797698,-0.7978979239597978,False
,,,-1,11001001100110011010000101000011110100110101,0.760164,-0.7602638294193275,False
,,,-1,00010010100110100000111011001011000010111011,0.521484,-0.5218835559928177,False
,,,-1,00010101110001101001011111100011000101100100,-1.016598,1.016097901497755,False
,,,2,11011100100101001010100111010111110101101100,1.135789,-1.1361891576359662,False
,,,2,10001000000100000010000111010101110011111111,1.135789,-1.1361891448156642,False
,,,2,11011100100000001010000111010101110100111101,1.135589,-1.136189149029503,False
,,,2,10011001100110011011000111010101100100001000,1.135489,-1.1361891492209193,False
,,,2,10111010100100001000001110101000110011001001,1.117349,-1.1173489211359304,False
,,,2,11010010100011100000111001010001110010010111,1.117349,-1.1173489211359304,False
,,,2,10111001110100011110001011010111111100101101,1.117349,-1.1173489211359304,False
,,,2,10011010010101001010001111101010011011101001,1.117349,-1.1173489211359304,False
,,,2,10111010000101001001011111000000011011101001,1.117349,-1.1173489211359304,False
,,,2,10101011000100001000001011101010011011101001,1.117349,-1.1173489211359304,False
,,,2,10011010100111100000111011001001110100111111,1.117349,-1.1173489211359304,False
,,,2,10101010000011100000111011101010011011101000,1.117349,-1.1173489211359304,False
,,,2,10011110100001100010011011001011111110111011,1.117249,-1.1173489211359315,False
